"from","to","n_times"
"Wing, Gabriel","al-Farooqui, Saleel",85
"Yan, Karlina","al-Farooqui, Saleel",58
"Wing, Gabriel","Yan, Karlina",82
"Hampstead, Chase","Reed, Samuel",31
"Vasquez, Melisa","Breakall, Ashlyn",2
"el-Kamali, Nakheel","Wu Zheng, Louis",28
"el-Kamali, Nakheel","Gomez, Teryn",16
"el-Kamali, Nakheel","Marquez Orozco, Rosalio",10
"el-Kamali, Nakheel","el-Farha, Nadeem",25
"Wu Zheng, Louis","Marquez Orozco, Rosalio",13
"Wu Zheng, Louis","Gomez, Teryn",14
"Gomez, Teryn","Marquez Orozco, Rosalio",13
"Wu Zheng, Louis","el-Farha, Nadeem",10
"Gomez, Teryn","el-Farha, Nadeem",12
"el-Farha, Nadeem","Marquez Orozco, Rosalio",9
"al-Farag, Bassil","Whittern, Jeffrey",105
"el-Wakim, Khaalid","Casarez, Arnulfo",8
"Vo, Kayla","Wallace, Brandon",63
"Kimmel, Raymond","Veleta, Francisco",6
"Kimmel, Raymond","Miller, Erynn",2
"Veleta, Francisco","Miller, Erynn",59
"Faloon, Daniel","Granados Garcia, Darwyn",148
"Faloon, Daniel","Baker, Steven",14
"Baker, Steven","Granados Garcia, Darwyn",12
"Scott, Ruth","Leiva, Jessica",3
"Scott, Ruth","Lee, Kevin",27
"Lee, Kevin","Leiva, Jessica",28
"Scott, Ruth","Harden, Meghan",15
"Lee, Kevin","Harden, Meghan",13
"Harden, Meghan","Leiva, Jessica",6
"Ayala, Taneisha","Long, Cody",92
"Kumar, Sepehr","Reeves, Trevon",51
"Kumar, Sepehr","Salvador, Jordan",4
"Salvador, Jordan","Reeves, Trevon",9
"al-Jafri, Shabaan","Songer, Joseph",32
"Farrell, Ashley","Locust, Arlene",11
"Farrell, Ashley","al-Dia, Juhaina",22
"al-Dia, Juhaina","Locust, Arlene",34
"Farrell, Ashley","Smith, Thanh",3
"al-Dia, Juhaina","Smith, Thanh",2
"Smith, Thanh","Adolpho-Rivera, Elijah",1
"Smith, Thanh","Locust, Arlene",2
"Farrell, Ashley","Adolpho-Rivera, Elijah",8
"al-Dia, Juhaina","Adolpho-Rivera, Elijah",69
"Adolpho-Rivera, Elijah","Locust, Arlene",8
"el-Baccus, Tahaani","Large, Alberto",29
"Mcalister, Austin","Johnson, Johnathan",106
"Nichols, Dustin","Johnson, Johnathan",44
"Mcalister, Austin","Nichols, Dustin",16
"Chaplinskiy, Liam","Bille, Ashley",10
