from,to,n_times
"King, Tyler","Otey, Jordan",85
"al-Zaki, Taqiyya","Otey, Jordan",58
"King, Tyler","al-Zaki, Taqiyya",82
"Jackson, Ellen","Estrada, Alexandrea",31
"Mclaughlin, Matthew","Najera, Steve",2
"Romero, Maria","Rosser, Jay",28
"Romero, Maria","Natonabah, Amber",16
"Romero, Maria","Smith, Jensen",10
"Romero, Maria","Boll, Jeffery",25
"Rosser, Jay","Smith, Jensen",13
"Rosser, Jay","Natonabah, Amber",14
"Natonabah, Amber","Smith, Jensen",13
"Rosser, Jay","Boll, Jeffery",10
"Natonabah, Amber","Boll, Jeffery",12
"Boll, Jeffery","Smith, Jensen",9
"el-Parsa, Nawf","Smith, Sterling",105
"al-Matar, Ariyya","Schlegel, Lindsey",8
"Shah, Nikki","Cross, Levi",63
"Webb, Erron","Gutierrez, Jonathan",6
"Webb, Erron","Nordby, Christian",2
"Gutierrez, Jonathan","Nordby, Christian",59
"Baldassare, Brianna","Smith, Cassidy",148
"Baldassare, Brianna","al-El-Sayed, Sultana",14
"al-El-Sayed, Sultana","Smith, Cassidy",12
"Emert, Taylor","Merrow, Kassandra",3
"Emert, Taylor","Lewis, Tyrale",27
"Lewis, Tyrale","Merrow, Kassandra",28
"Emert, Taylor","al-Sheikh, Mahmood",15
"Lewis, Tyrale","al-Sheikh, Mahmood",13
"al-Sheikh, Mahmood","Merrow, Kassandra",6
"Miller, Michael","Buckner, Destinee",92
"Truitt, Jason","Lynn, Angelo",51
"Truitt, Jason","al-Mohammad, Taaj",4
"al-Mohammad, Taaj","Lynn, Angelo",9
"al-Hamad, Tufail","Jordan, Shauntaul",32
"Valdo, Brandi","Clark, Kayla",11
"Valdo, Brandi","al-Hamed, Afaaf",22
"al-Hamed, Afaaf","Clark, Kayla",34
"Valdo, Brandi","el-Hanif, Shafee'a",3
"al-Hamed, Afaaf","el-Hanif, Shafee'a",2
"el-Hanif, Shafee'a","el-Tahir, Jawhar",1
"el-Hanif, Shafee'a","Clark, Kayla",2
"Valdo, Brandi","el-Tahir, Jawhar",8
"al-Hamed, Afaaf","el-Tahir, Jawhar",69
"el-Tahir, Jawhar","Clark, Kayla",8
"Rickett, Matthew","Garcia, Ricardo",29
"Trudell, Alek","Salazar, Kanani",106
"Montano, Kristen","Salazar, Kanani",44
"Trudell, Alek","Montano, Kristen",16
"Blackman, Raven","Puga-Garcia, Jorge",10
"Blackman, Raven","Jackson, Shailah",160
"Jackson, Shailah","Puga-Garcia, Jorge",2
"Saling, Shawn","Ainsworth, Danni",46
"Saling, Shawn","Jumpe, Blake",9
"Jumpe, Blake","Ainsworth, Danni",12
"Herndon, Lawrence","Winbush, Kellie",1
"Enlow, Elizabeth","el-Momin, Burhaan",23
"Enlow, Elizabeth","Sloan, Taylor",3
"Enlow, Elizabeth","Lingen, Will",4
"Lingen, Will","el-Momin, Burhaan",5
"Lingen, Will","Sloan, Taylor",2
"Sloan, Taylor","el-Momin, Burhaan",2
"Thompson, Skylar","Murphy, Jacob",109
"Arapahoe, Lauren","Nguyen, Hanna",38
"Arapahoe, Lauren","Burnley, Olivia",48
"Burnley, Olivia","Nguyen, Hanna",21
"el-Hassen, Faisal","Gabel, Alexandra",30
"el-Hassen, Faisal","Gilbert, Chandel",12
"el-Hassen, Faisal","Adams, Mariah",53
"Adams, Mariah","Gabel, Alexandra",58
"Adams, Mariah","Gilbert, Chandel",43
"Gilbert, Chandel","Gabel, Alexandra",20
"al-Nouri, Firdaus","Sarsam, Michael",23
"al-Shahidi, Sanaaa","Salaz, Mariah",60
"al-Shahidi, Sanaaa","Smith, Phoebe",111
"Smith, Phoebe","Salaz, Mariah",125
"el-Kabir, Aarifa","Cross, Levi",21
"Rin, Cody","Fogg, Alangkrita",33
"Simmons, Monique","Griffin, Ian",36
"Gallegos, Bridgett","el-Huda, Fawwaaz",7
"Gallegos, Bridgett","Mandell, Ena",10
"Mandell, Ena","el-Huda, Fawwaaz",82
"Hoang, Cameron","Sarsam, Michael",76
"Hoang, Cameron","Bennett, Jared",34
"Bennett, Jared","Sarsam, Michael",28
"Roseveare, Isaac","Becerra, Mayra",153
"Lai, Christina","Nordby, Christian",78
"Miales, Ariel","al-Ayub, Ummu Kulthoom",29
"Miales, Ariel","Serrano Cano, Jamecia",1
"Serrano Cano, Jamecia","al-Ayub, Ummu Kulthoom",32
"al-Kaleel, Nassaar","al-Abdullah, Jaasir",119
"al-Kaleel, Nassaar","el-Pasha, Abdul Baari",180
"el-Pasha, Abdul Baari","al-Abdullah, Jaasir",139
"Clark, Sierra","Smith, Cassidy",116
"Rin, Cody","Blackbear, Naomi",9
"Ottosen, Jessica","Montoya, Teshia",5
"Ottosen, Jessica","Gonzalez Lopez, Jessie",2
"Montano, Kristen","Ottosen, Jessica",3
"Montoya, Teshia","Gonzalez Lopez, Jessie",2
"Montano, Kristen","Montoya, Teshia",54
